Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"peur_base","-16.88","-8.4","0.34","17.86 (8.89%)","54","15 (27.78%)","goldPro defaults"
"peur_slow05","-3.32","-1.7","0.00","3.33 (1.66%)","6","0 (0.00%)","slowMax0.5"
"peur_slow06","-6.94","-3.5","0.27","8.49 (4.24%)","21","5 (23.81%)","slowMax0.6"
"peur_slowoff","-151.69","-75.8","0.68","170.43 (77.91%)","1702","321 (18.86%)","slow OFF"
"peur_fvgoff","-16.88","-8.4","0.34","17.86 (8.89%)","54","15 (27.78%)","fvg OFF"
"peur_slx25","-9.39","-4.7","0.46","11.15 (5.56%)","43","17 (39.53%)","slx2.5"
"peur_slx30","-6.72","-3.4","0.50","7.95 (3.96%)","38","16 (42.11%)","slx3.0"
"peur_slx15","-12.81","-6.4","0.52","14.01 (6.97%)","67","18 (26.87%)","slx1.5"
"peur_atroff","-17.71","-8.9","0.33","18.69 (9.30%)","55","15 (27.27%)","atr OFF"
"peur_atr175","-17.71","-8.9","0.33","18.69 (9.30%)","55","15 (27.27%)","atr 1.75"
"peur_imp15","-11.01","-5.5","0.34","12.10 (6.02%)","36","10 (27.78%)","impulse1.5 body0.8"
"peur_imp10","-16.90","-8.4","0.43","18.32 (9.10%)","67","22 (32.84%)","impulse1.0 body0.5"
"peur_guard10","-16.86","-8.4","0.39","17.84 (8.88%)","54","18 (33.33%)","guard 1.0R"
"peur_rr20","-2.06","-1","0.00","3.30 (1.64%)","4","0 (0.00%)","minRR 2.0"
"peur_slx25_imp15","-8.41","-4.2","0.37","9.00 (4.49%)","31","10 (32.26%)","slx2.5+imp1.5"
"peur_slowoff_slx25","-121.02","-60.5","0.75","129.69 (62.21%)","1681","411 (24.45%)","slowOFF+slx2.5"
