Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"peur3_base","-9.19","-4.6","0.94","18.43 (8.92%)","459","109 (23.75%)","M15 soff slx2.5 baseline"
"peur3_rr20","2.25","1.1","1.02","13.71 (6.40%)","310","52 (16.77%)","+minRR2"
"peur3_rr25","-1.39","-0.7","0.98","15.69 (7.84%)","240","38 (15.83%)","+minRR2.5"
"peur3_rr30","-5.53","-2.8","0.93","14.53 (6.97%)","213","26 (12.21%)","+minRR3"
"peur3_slx30","-16.96","-8.5","0.84","19.70 (9.81%)","309","78 (25.24%)","slx3"
"peur3_slx35","0.76","0.4","1.01","12.11 (5.70%)","265","79 (29.81%)","slx3.5"
"peur3_imp15","-0.46","-0.2","1.00","12.93 (6.29%)","432","106 (24.54%)","imp1.5"
"peur3_qa","-115.79","-57.9","0.91","214.54 (72.56%)","1324","429 (32.40%)","quality A"
"peur3_rr25_slx30","-13.65","-6.8","0.78","17.10 (8.50%)","160","21 (13.12%)","rr2.5+slx3"
"peur3_rr30_slx30","-15.12","-7.6","0.65","17.42 (8.71%)","122","11 (9.02%)","rr3+slx3"
"peur3_zones_m15","0.41","0.2","1.00","15.65 (7.28%)","455","116 (25.49%)","zones M15 only"
"peur3_zones_h1","-6.06","-3","0.62","10.64 (5.32%)","37","3 (8.11%)","zones H1 only"
"peur3_d1","-36.87","-18.4","0.71","54.17 (26.18%)","393","76 (19.34%)","trend D1"
"peur3_guard10","-24.72","-12.4","0.88","31.33 (15.21%)","436","121 (27.75%)","guard1R"
