Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"peurR_r05","17.22","8.6","1.34","7.07 (3.17%)","148","32 (21.62%)","winner risk0.5"
"peurR_r10","20.93","10.5","1.14","21.99 (9.90%)","233","43 (18.45%)","risk1.0"
"peurR_r15","61.99","31","1.21","32.14 (13.51%)","257","50 (19.46%)","risk1.5"
"peurR_r20","40.46","20.2","1.10","58.36 (23.30%)","263","50 (19.01%)","risk2.0"
"peurR_r25","72.90","36.4","1.13","71.24 (27.43%)","263","50 (19.01%)","risk2.5"
"peurR_rr15","84.52","42.3","1.23","43.17 (18.22%)","326","74 (22.70%)","risk1.5 rr1.5"
"peurR_rr12","35.92","18","1.08","58.60 (22.17%)","413","99 (23.97%)","risk1.5 rr1.2"
"peurR_rroff","-51.03","-25.5","0.92","118.41 (45.34%)","707","266 (37.62%)","risk1.5 rrOFF"
"peurR_zh1","-18.96","-9.5","0.93","37.66 (18.03%)","295","50 (16.95%)","risk1.5 zones M15,H1"
"peurR_slx25","17.43","8.7","1.03","56.01 (21.10%)","435","75 (17.24%)","risk1.5 slx2.5"
"peurR_rr15_zh1","-3.65","-1.8","0.99","39.34 (17.06%)","370","74 (20.00%)","risk1.5 rr1.5+M15H1"
"peurR_r20_rr15","67.77","33.9","1.13","66.64 (26.08%)","333","74 (22.22%)","risk2.0 rr1.5"
