Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pgbpM_base","6 251.04","6.3","1.07","20 468.55 (20.33%)","97","49 (50.52%)","video M15 base reconfirm"
"pgbpM_slow08","-15 940.62","-15.9","0.69","19 276.24 (19.14%)","52","23 (44.23%)","slow0.8"
"pgbpM_slow12","-18 621.17","-18.6","0.87","30 783.55 (29.79%)","164","71 (43.29%)","slow1.2"
"pgbpM_slow15","-26 189.32","-26.2","0.84","32 659.09 (31.61%)","180","75 (41.67%)","slow1.5"
"pgbpM_slx15","-25 833.78","-25.8","0.72","26 754.90 (26.51%)","97","32 (32.99%)","slx1.5"
"pgbpM_slx25","14 567.64","14.6","1.17","16 780.94 (16.50%)","97","58 (59.79%)","slx2.5"
"pgbpM_slx30","33 902.65","33.9","1.50","12 037.04 (11.91%)","97","67 (69.07%)","slx3.0"
"pgbpM_guard05","-5 382.87","-5.4","0.92","17 905.35 (16.79%)","97","36 (37.11%)","guard 0.5R"
"pgbpM_atroff","11 775.07","11.8","1.13","19 124.15 (18.99%)","100","52 (52.00%)","atr OFF"
"pgbpM_rr15","-1 711.31","-1.7","0.93","17 404.53 (17.04%)","23","7 (30.43%)","minRR1.5"
"pgbpM_rr18","7 742.10","7.7","1.57","10 136.32 (9.92%)","15","5 (33.33%)","minRR1.8"
"pgbpM_risk10","3 585.61","3.6","1.08","10 692.41 (10.66%)","97","49 (50.52%)","risk1.0"
"pgbpM_risk15","5 047.36","5","1.08","15 689.26 (15.61%)","97","49 (50.52%)","risk1.5"
"pgbpM_zh1","-5 031.23","-5","0.93","17 959.38 (17.57%)","82","42 (51.22%)","zones M15,H1"
"pgbpM_body05","7 474.99","7.5","1.07","17 910.20 (17.79%)","114","58 (50.88%)","body0.5"
"pgbpM_body08","3 204.52","3.2","1.04","16 552.42 (14.17%)","83","41 (49.40%)","body0.8"
"pgbpM_imp10","3 147.82","3.1","1.04","20 603.86 (20.46%)","100","50 (50.00%)","impulse1.0"
"pgbpM_imp15","10 193.65","10.2","1.12","19 228.87 (19.10%)","89","45 (50.56%)","impulse1.5"
"pgbpM_slow12_slx25","-13 648.91","-13.6","0.91","25 619.28 (24.22%)","163","82 (50.31%)","slow1.2+slx2.5"
"pgbpM_base_200","-2.28","-1.1","0.98","36.92 (18.38%)","94","46 (48.94%)","base "
