Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pgbp2_slx30","33 902.65","33.9","1.50","12 037.04 (11.91%)","97","67 (69.07%)","slx3.0 risk2 reconfirm"
"pgbp2_slx35","41 011.69","41","1.74","12 679.24 (12.60%)","97","71 (73.20%)","slx3.5"
"pgbp2_slx40","30 307.14","30.3","1.59","13 257.44 (13.21%)","97","72 (74.23%)","slx4.0"
"pgbp2_slx30_r15","24 768.10","24.8","1.50","9 093.88 (9.02%)","97","67 (69.07%)","slx3.0 risk1.5"
"pgbp2_slx30_r10","16 077.74","16.1","1.51","6 106.01 (6.07%)","97","67 (69.07%)","slx3.0 risk1.0"
"pgbp2_slx30_imp15","29 192.52","29.2","1.45","12 037.04 (11.91%)","89","60 (67.42%)","slx3.0+imp1.5"
"pgbp2_slx30_atroff","38 515.80","38.5","1.55","11 040.83 (10.92%)","100","70 (70.00%)","slx3.0 atrOFF"
"pgbp2_slx30_g05","27 685.04","27.7","1.53","9 128.85 (6.87%)","97","58 (59.79%)","slx3.0 guard0.5"
"pgbp2_slx30_rr18","1 482.82","1.5","1.67","3 898.94 (3.75%)","3","1 (33.33%)","slx3.0 minRR1.8"
"pgbp2_slx30_200","56.59","28.3","1.58","19.71 (9.82%)","91","63 (69.23%)","slx3.0 "
"pgbp2_slx30_r15_200","32.39","16.2","1.52","15.37 (7.58%)","76","51 (67.11%)","slx3.0 risk1.5 "
