Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pust2_base","-160.64","-0.2","0.70","167.42 (0.17%)","247","31 (12.55%)","eur-style baseline"
"pust2_rr15","-105.78","-0.1","0.84","138.98 (0.14%)","328","60 (18.29%)","rr1.5"
"pust2_rr20","-176.15","-0.2","0.64","182.93 (0.18%)","209","23 (11.00%)","rr2.0"
"pust2_rr25","-97.72","-0.1","0.70","104.50 (0.10%)","133","14 (10.53%)","rr2.5"
"pust2_slx25","-324.95","-0.3","0.68","384.92 (0.38%)","426","61 (14.32%)","slx2.5"
"pust2_slx40","-132.24","-0.1","0.69","146.26 (0.15%)","190","25 (13.16%)","slx4.0"
"pust2_imp15","-165.47","-0.2","0.69","172.25 (0.17%)","241","30 (12.45%)","imp1.5"
"pust2_rr15_slx40","-129.67","-0.1","0.76","156.79 (0.16%)","253","42 (16.60%)","rr1.5+slx4"
"pust2_m5_slow06","-16.39","0","0.72","38.28 (0.04%)","25","10 (40.00%)","M5 slow0.6"
"pust2_m5_slow05","2.71","0","1.10","18.96 (0.02%)","12","6 (50.00%)","M5 slow0.5"
