Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pustS_m1_200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","M1 zones M1,M5 "
"pustS_m1_open200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","M1 open filters "
"pustS_m5_m1z_200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","M5 zones M1,M5 "
"pustS_m5_open200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","M5 open "
"pustS_m1_100k","-292.60","-0.3","0.45","295.35 (0.30%)","172","51 (29.65%)","M1 zones M1,M5 "
"pustS_m1_slow05","-19.03","0","0.64","22.91 (0.02%)","20","9 (45.00%)","M1 slow0.5 "
"pustS_m1_soff_rr15","-5 514.18","-5.5","0.60","5 527.18 (5.53%)","4739","719 (15.17%)","M1 soff rr1.5 "
"pustS_m5_m1z_100k","-292.60","-0.3","0.45","295.35 (0.30%)","172","51 (29.65%)","M5 zones M1,M5 "
"pustS_m5_slow05","-19.03","0","0.64","22.91 (0.02%)","20","9 (45.00%)","M5 slow0.5 zones M1 "
"pustS_m1_risk15","-0.06","0","0.00","0.06 (0.03%)","2","0 (0.00%)","M1 risk1.5 "
"pustS_m1_risk50","-2.54","-1.3","0.25","2.58 (1.29%)","66","14 (21.21%)","M1 risk5 "
