Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pustV_d1_100k","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","video D1 risk2 "
"pustV_d1_200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","video D1 risk2 "
"pustV_h4_100k","18.21","0","1.32","77.37 (0.08%)","11","4 (36.36%)","video H4 zones H4 risk2"
"pustV_h1_100k","-117.05","-0.1","0.45","117.05 (0.12%)","19","7 (36.84%)","video H1 zones H1 risk2"
"pustV_m5_100k","-1 086.37","-1.1","0.72","1 342.82 (1.34%)","329","130 (39.51%)","video M5/M15 risk2 (pre-XAU slow1.0 guard1R)"
"pustV_m5_200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","video M5 risk2 "
"pustV_m5_slow08","-638.51","-0.6","0.57","842.65 (0.84%)","118","43 (36.44%)","M5 slowMax0.8"
"pustV_m5_slow12","-1 673.12","-1.7","0.76","1 936.31 (1.93%)","587","225 (38.33%)","M5 slowMax1.2"
"pustV_m5_slx15","-2 030.59","-2","0.55","2 091.10 (2.09%)","331","93 (28.10%)","M5 slx1.5"
"pustV_m5_slx25","-719.14","-0.7","0.79","972.40 (0.97%)","327","156 (47.71%)","M5 slx2.5"
"pustV_m5_atroff","-1 145.30","-1.1","0.71","1 388.68 (1.39%)","341","135 (39.59%)","M5 atr OFF"
"pustV_m5_soff","-7 173.59","-7.2","0.75","7 322.76 (7.31%)","2456","748 (30.46%)","M5 slow OFF"
"pustV_h1_slow12","-117.38","-0.1","0.63","117.38 (0.12%)","31","13 (41.94%)","H1 slow1.2"
"pustV_h1_slx15","-89.11","-0.1","0.55","98.70 (0.10%)","19","6 (31.58%)","H1 slx1.5"
"pustV_d1_slx15","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","D1 slx1.5"
"pustV_d1_soff","-36.32","0","0.00","36.56 (0.04%)","2","0 (0.00%)","D1 slow OFF"
