Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pustH_base","18.21","0","1.32","77.37 (0.08%)","11","4 (36.36%)","H4 video risk2"
"pustH_slow08","10.61","0","1.26","53.97 (0.05%)","8","3 (37.50%)","slow0.8"
"pustH_slow12","-3.28","0","0.96","97.90 (0.10%)","14","4 (28.57%)","slow1.2"
"pustH_slow15","-3.28","0","0.96","97.90 (0.10%)","14","4 (28.57%)","slow1.5"
"pustH_soff","-240.49","-0.2","0.64","368.73 (0.37%)","65","10 (15.38%)","slow OFF"
"pustH_slx15","3.60","0","1.06","86.87 (0.09%)","11","3 (27.27%)","slx1.5"
"pustH_slx25","-16.55","0","0.83","68.77 (0.07%)","11","5 (45.45%)","slx2.5"
"pustH_slx30","-25.78","0","0.72","69.42 (0.07%)","11","5 (45.45%)","slx3.0"
"pustH_atroff","18.21","0","1.32","77.37 (0.08%)","11","4 (36.36%)","atr OFF"
"pustH_guard05","-45.10","0","0.21","75.27 (0.08%)","11","2 (18.18%)","guard 0.5R"
"pustH_zh1","-101.31","-0.1","0.58","181.14 (0.18%)","27","11 (40.74%)","zones H4,H1"
"pustH_rr15","-1.64","0","0.96","60.99 (0.06%)","6","1 (16.67%)","minRR1.5"
"pustH_slow12_slx25","-37.74","0","0.68","89.96 (0.09%)","14","5 (35.71%)","slow1.2+slx2.5"
"pustH_base_200","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","H4 base "
