Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pustM_base","-47.42","0","0.96","391.45 (0.39%)","111","46 (41.44%)","M15 video risk2 zones M15"
"pustM_zh1","-196.74","-0.2","0.79","474.71 (0.47%)","85","34 (40.00%)","zones M15,H1"
"pustM_slow08","-129.76","-0.1","0.78","405.69 (0.41%)","50","19 (38.00%)","slow0.8"
"pustM_slow12","-152.47","-0.2","0.92","615.33 (0.61%)","187","73 (39.04%)","slow1.2"
"pustM_soff","-1 406.33","-1.4","0.84","1 829.28 (1.83%)","802","256 (31.92%)","slow OFF"
"pustM_slx15","-321.04","-0.3","0.76","422.70 (0.42%)","112","35 (31.25%)","slx1.5"
"pustM_slx25","-42.41","0","0.96","323.49 (0.32%)","111","55 (49.55%)","slx2.5"
"pustM_atroff","-39.10","0","0.97","381.48 (0.38%)","114","48 (42.11%)","atr OFF"
"pustM_guard05","-283.04","-0.3","0.74","503.48 (0.50%)","111","34 (30.63%)","guard 0.5R"
"pustM_rr15","-127.09","-0.1","0.68","153.83 (0.15%)","32","6 (18.75%)","minRR1.5"
