Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"prox_base","50.21","25.1","1.13","65.58 (25.04%)","129","62 (48.06%)","baseline slx2 atr1.5"
"prox_slx25","-11.85","-5.9","0.97","71.29 (28.46%)","126","67 (53.17%)","slx2.5"
"prox_slx30","-5.90","-3","0.98","41.27 (18.96%)","121","72 (59.50%)","slx3.0"
"prox_atroff","-4.08","-2","0.99","88.34 (34.62%)","131","60 (45.80%)","atr OFF"
"prox_atr175","13.08","6.5","1.03","81.85 (31.26%)","130","61 (46.92%)","atr 1.75"
"prox_imp15","4.74","2.4","1.02","61.64 (24.79%)","94","44 (46.81%)","impulse1.5 body0.8"
"prox_slow06","50.19","25.1","1.59","36.37 (14.26%)","31","18 (58.06%)","slowMax0.6"
"prox_guard10","-30.71","-15.4","0.93","106.33 (39.44%)","127","68 (53.54%)","guard 1.0R"
"prox_rr20","-7.02","-3.5","0.72","27.23 (13.61%)","12","1 (8.33%)","minRR 2.0"
"prox_slx25_imp15","2.80","1.4","1.01","67.05 (25.74%)","94","51 (54.26%)","slx2.5+imp1.5"
"prox_slow05","54.64","27.3","6.93","16.66 (7.24%)","11","8 (72.73%)","slowMax0.5"
"prox_slow07","86.51","43.3","1.38","34.29 (13.70%)","76","43 (56.58%)","slowMax0.7"
"prox_slow06_100k","33 829.56","33.8","1.69","19 965.71 (14.66%)","32","19 (59.38%)","slowMax0.6 "
"prox_base_100k","26 429.46","26.4","1.12","34 966.13 (26.20%)","129","62 (48.06%)","baseline "
"prox_slow07_100k","45 167.07","45.2","1.35","18 670.50 (14.65%)","76","43 (56.58%)","slowMax0.7 $100k"
