"Preset","Net","PF","EquityDD","Trades","WinRate"
"hlth_rr","-14 410.75","0.81","67 698.97 (55.96%)","8","3 (37.50%)"
"hlth_rr_g05","43 132.67","3.99","48 405.23 (25.27%)","8","2 (25.00%)"
"hlth_rr_g10","42 658.57","3.86","48 247.10 (25.27%)","8","2 (25.00%)"
"hlth_rr_r1","-5 462.91","0.89","55 309.83 (45.72%)","8","3 (37.50%)"
"hlth_rr_g05r1","28 233.40","3.09","27 264.38 (24.49%)","8","2 (25.00%)"
"hlth_rr20","-70 486.34","0.35","90 241.98 (77.20%)","13","3 (23.08%)"
"hlth_rr20_g05","26 895.43","2.01","40 436.56 (35.99%)","13","2 (15.38%)"
"hlth_imp10","-28 379.60","0.66","79 451.88 (65.68%)","9","3 (33.33%)"
"hlth_imp10_g05","25 627.90","1.80","57 339.86 (46.55%)","9","2 (22.22%)"
"hlth_m15","-40 474.85","0.00","53 144.85 (47.17%)","3","0 (0.00%)"
"hlth_m15_g05","-3 171.70","0.00","27 143.52 (21.89%)","3","0 (0.00%)"
"hlth_rr_g05_m530","46 288.50","5.11","49 474.15 (25.27%)","5","2 (40.00%)"
